chain_id,thread_id,user_a,user_b,i_idx,j_idx,lag,id_x,id_y,user_x,user_y,pair_type,tokens_x,tokens_y,H,H_per_token,sigma,model,max_tokens
4,134,163,10,2,3,1,172,215,163,10,interpersonal,90,115,22.676739,0.251964,0.3,bert-base-uncased,256
5,134,163,10,0,1,1,134,138,163,10,interpersonal,254,254,65.331787,0.257212,0.3,bert-base-uncased,256
5,134,163,10,0,2,2,134,172,163,163,intrapersonal,254,90,78.648926,0.309641,0.3,bert-base-uncased,256
5,134,163,10,0,3,3,134,215,163,10,interpersonal,254,115,76.527596,0.301290,0.3,bert-base-uncased,256
5,134,163,10,1,2,1,138,172,10,163,interpersonal,254,90,71.117554,0.279990,0.3,bert-base-uncased,256
5,134,163,10,1,3,2,138,215,10,10,intrapersonal,254,115,70.514275,0.277615,0.3,bert-base-uncased,256
5,134,163,10,2,3,1,172,215,163,10,interpersonal,90,115,22.676739,0.251964,0.3,bert-base-uncased,256
6,134,163,10,0,1,1,134,138,163,10,interpersonal,254,254,65.331787,0.257212,0.3,bert-base-uncased,256
6,134,163,10,0,2,2,134,172,163,163,intrapersonal,254,90,78.648926,0.309641,0.3,bert-base-uncased,256
6,134,163,10,0,3,3,134,215,163,10,interpersonal,254,115,76.527596,0.301290,0.3,bert-base-uncased,256
6,134,163,10,1,2,1,138,172,10,163,interpersonal,254,90,71.117554,0.279990,0.3,bert-base-uncased,256
6,134,163,10,1,3,2,138,215,10,10,intrapersonal,254,115,70.514275,0.277615,0.3,bert-base-uncased,256
6,134,163,10,2,3,1,172,215,163,10,interpersonal,90,115,22.676739,0.251964,0.3,bert-base-uncased,256
7,134,163,10,0,1,1,134,138,163,10,interpersonal,254,254,65.331787,0.257212,0.3,bert-base-uncased,256
7,134,163,10,0,2,2,134,172,163,163,intrapersonal,254,90,78.648926,0.309641,0.3,bert-base-uncased,256
7,134,163,10,0,3,3,134,215,163,10,interpersonal,254,115,76.527596,0.301290,0.3,bert-base-uncased,256
7,134,163,10,1,2,1,138,172,10,163,interpersonal,254,90,71.117554,0.279990,0.3,bert-base-uncased,256
7,134,163,10,1,3,2,138,215,10,10,intrapersonal,254,115,70.514275,0.277615,0.3,bert-base-uncased,256
7,134,163,10,2,3,1,172,215,163,10,interpersonal,90,115,22.676739,0.251964,0.3,bert-base-uncased,256
8,148,88,90,0,1,1,163,166,88,90,interpersonal,85,81,21.987478,0.258676,0.3,bert-base-uncased,256
8,148,88,90,0,2,2,163,176,88,88,intrapersonal,85,88,20.185369,0.237475,0.3,bert-base-uncased,256
8,148,88,90,0,3,3,163,199,88,90,interpersonal,85,120,21.063501,0.247806,0.3,bert-base-uncased,256
8,148,88,90,1,2,1,166,176,90,88,interpersonal,81,88,6.153903,0.075974,0.3,bert-base-uncased,256
8,148,88,90,1,3,2,166,199,90,90,intrapersonal,81,120,20.148563,0.248748,0.3,bert-base-uncased,256
8,148,88,90,2,3,1,176,199,88,90,interpersonal,88,120,23.406586,0.265984,0.3,bert-base-uncased,256
9,164,259,37,0,1,1,223,227,259,37,interpersonal,109,145,19.230692,0.176428,0.3,bert-base-uncased,256
9,164,259,37,0,2,2,223,242,259,259,intrapersonal,109,44,31.063486,0.284986,0.3,bert-base-uncased,256
9,164,259,37,0,3,3,223,254,259,37,interpersonal,109,74,33.279842,0.305320,0.3,bert-base-uncased,256
9,164,259,37,1,2,1,227,242,37,259,interpersonal,145,44,42.095238,0.290312,0.3,bert-base-uncased,256
9,164,259,37,1,3,2,227,254,37,37,intrapersonal,145,74,43.231888,0.298151,0.3,bert-base-uncased,256
9,164,259,37,2,3,1,242,254,259,37,interpersonal,44,74,12.305390,0.279668,0.3,bert-base-uncased,256
10,164,68,133,0,1,1,263,311,68,133,interpersonal,91,88,24.136311,0.265234,0.3,bert-base-uncased,256
10,164,68,133,0,2,2,263,394,68,68,intrapersonal,91,113,25.978586,0.285479,0.3,bert-base-uncased,256
10,164,68,133,1,2,1,311,394,133,68,interpersonal,88,113,23.960518,0.272279,0.3,bert-base-uncased,256
11,179,207,102,0,1,1,179,180,207,102,interpersonal,254,196,62.689556,0.246809,0.3,bert-base-uncased,256
11,179,207,102,0,2,2,179,218,207,207,intrapersonal,254,200,67.963730,0.267574,0.3,bert-base-uncased,256
11,179,207,102,1,2,1,180,218,102,207,interpersonal,196,200,46.967304,0.239629,0.3,bert-base-uncased,256
12,192,68,160,0,1,1,192,195,68,160,interpersonal,254,147,72.315010,0.284705,0.3,bert-base-uncased,256
12,192,68,160,0,2,2,192,213,68,68,intrapersonal,254,134,73.402649,0.288987,0.3,bert-base-uncased,256
12,192,68,160,1,2,1,195,213,160,68,interpersonal,147,134,39.538193,0.268967,0.3,bert-base-uncased,256
13,225,230,148,0,1,1,268,269,230,148,interpersonal,230,73,68.748825,0.298908,0.3,bert-base-uncased,256
13,225,230,148,0,2,2,268,283,230,230,intrapersonal,230,107,65.419556,0.284433,0.3,bert-base-uncased,256
13,225,230,148,1,2,1,269,283,148,230,interpersonal,73,107,17.045612,0.233502,0.3,bert-base-uncased,256
14,225,230,148,0,1,1,268,269,230,148,interpersonal,230,73,68.748825,0.298908,0.3,bert-base-uncased,256
14,225,230,148,0,2,2,268,283,230,230,intrapersonal,230,107,65.419556,0.284433,0.3,bert-base-uncased,256
14,225,230,148,1,2,1,269,283,148,230,interpersonal,73,107,17.045612,0.233502,0.3,bert-base-uncased,256
15,225,230,148,0,1,1,268,269,230,148,interpersonal,230,73,68.748825,0.298908,0.3,bert-base-uncased,256
15,225,230,148,0,2,2,268,283,230,230,intrapersonal,230,107,65.419556,0.284433,0.3,bert-base-uncased,256
15,225,230,148,1,2,1,269,283,148,230,interpersonal,73,107,17.045612,0.233502,0.3,bert-base-uncased,256
16,225,230,148,0,1,1,268,269,230,148,interpersonal,230,73,68.748825,0.298908,0.3,bert-base-uncased,256
16,225,230,148,0,2,2,268,283,230,230,intrapersonal,230,107,65.419556,0.284433,0.3,bert-base-uncased,256
16,225,230,148,1,2,1,269,283,148,230,interpersonal,73,107,17.045612,0.233502,0.3,bert-base-uncased,256
17,245,68,72,0,1,1,249,253,68,72,interpersonal,107,148,29.956345,0.279966,0.3,bert-base-uncased,256
17,245,68,72,0,2,2,249,262,68,68,intrapersonal,107,97,28.813648,0.269286,0.3,bert-base-uncased,256
17,245,68,72,1,2,1,253,262,72,68,interpersonal,148,97,42.159637,0.284862,0.3,bert-base-uncased,256
18,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
18,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
18,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
19,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
19,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
19,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
20,247,258,12,0,1,1,840,844,258,12,interpersonal,90,83,21.255070,0.236167,0.3,bert-base-uncased,256
20,247,258,12,0,2,2,840,865,258,258,intrapersonal,90,77,22.206541,0.246739,0.3,bert-base-uncased,256
20,247,258,12,1,2,1,844,865,12,258,interpersonal,83,77,23.047611,0.277682,0.3,bert-base-uncased,256
21,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
21,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
21,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
22,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
22,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
22,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
23,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
23,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
23,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
23,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
23,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
23,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
24,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
24,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
24,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
25,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
25,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
25,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
25,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
25,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
25,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
26,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
26,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
26,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
27,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
27,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
27,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
27,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
27,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
27,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
28,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
28,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
28,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
29,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
29,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
29,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
30,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
30,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
30,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
30,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
30,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
30,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
31,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
31,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
31,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
32,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
32,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
32,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
33,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
33,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
33,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
33,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
33,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
33,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
34,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
34,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
34,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
35,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
35,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
35,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
36,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
36,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
36,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
36,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
36,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
36,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
37,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
37,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
37,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
38,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
38,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
38,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
39,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
39,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
39,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
39,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
39,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
39,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
40,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
40,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
40,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
41,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
41,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
41,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
42,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
42,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
42,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
42,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
42,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
42,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
43,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
43,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
43,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
44,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
44,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
44,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
45,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
45,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
45,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
45,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
45,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
45,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
46,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
46,247,258,608,0,2,2,841,1053,258,258,intrapersonal,77,45,20.804613,0.270190,0.3,bert-base-uncased,256
46,247,258,608,1,2,1,897,1053,608,258,interpersonal,38,45,1.640029,0.043159,0.3,bert-base-uncased,256
47,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
47,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
47,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
48,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
48,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
48,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
48,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
48,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
48,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
49,247,258,608,0,1,1,841,897,258,608,interpersonal,77,38,21.082371,0.273797,0.3,bert-base-uncased,256
49,247,258,608,0,2,2,841,951,258,258,intrapersonal,77,48,20.690632,0.268710,0.3,bert-base-uncased,256
49,247,258,608,1,2,1,897,951,608,258,interpersonal,38,48,8.367705,0.220203,0.3,bert-base-uncased,256
50,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
50,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
50,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
51,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
51,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
51,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
51,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
51,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
51,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
52,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
52,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
52,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
53,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
53,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
53,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
53,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
53,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
53,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
54,247,608,576,0,1,1,897,901,608,576,interpersonal,38,134,9.717546,0.255725,0.3,bert-base-uncased,256
54,247,608,576,0,2,2,897,964,608,608,intrapersonal,38,48,8.194545,0.215646,0.3,bert-base-uncased,256
54,247,608,576,1,2,1,901,964,576,608,interpersonal,134,48,40.113255,0.299353,0.3,bert-base-uncased,256
55,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
55,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
55,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
56,247,556,199,0,1,1,652,655,556,199,interpersonal,67,67,17.314148,0.258420,0.3,bert-base-uncased,256
56,247,556,199,0,2,2,652,660,556,556,intrapersonal,67,82,17.915791,0.267400,0.3,bert-base-uncased,256
56,247,556,199,0,3,3,652,711,556,199,interpersonal,67,78,18.757523,0.279963,0.3,bert-base-uncased,256
56,247,556,199,1,2,1,655,660,199,556,interpersonal,67,82,16.141247,0.240914,0.3,bert-base-uncased,256
56,247,556,199,1,3,2,655,711,199,199,intrapersonal,67,78,19.212168,0.286749,0.3,bert-base-uncased,256
56,247,556,199,2,3,1,660,711,556,199,interpersonal,82,78,22.324238,0.272247,0.3,bert-base-uncased,256
57,247,608,576,0,1,1,897,901,608,576,interpersonal,38,134,9.717546,0.255725,0.3,bert-base-uncased,256
57,247,608,576,0,2,2,897,964,608,608,intrapersonal,38,48,8.194545,0.215646,0.3,bert-base-uncased,256
57,247,608,576,1,2,1,901,964,576,608,interpersonal,134,48,40.113255,0.299353,0.3,bert-base-uncased,256
58,247,384,655,0,1,1,1364,1365,384,655,interpersonal,64,43,19.174007,0.299594,0.3,bert-base-uncased,256
58,247,384,655,0,2,2,1364,1584,384,384,intrapersonal,64,77,19.984444,0.312257,0.3,bert-base-uncased,256
58,247,384,655,0,3,3,1364,1669,384,655,interpersonal,64,44,20.312675,0.317386,0.3,bert-base-uncased,256
58,247,384,655,1,2,1,1365,1584,655,384,interpersonal,43,77,12.483991,0.290325,0.3,bert-base-uncased,256
58,247,384,655,1,3,2,1365,1669,655,655,intrapersonal,43,44,11.664052,0.271257,0.3,bert-base-uncased,256
58,247,384,655,2,3,1,1584,1669,384,655,interpersonal,77,44,21.782501,0.282890,0.3,bert-base-uncased,256
59,247,200,138,0,1,1,265,320,200,138,interpersonal,100,112,25.688364,0.256884,0.3,bert-base-uncased,256
59,247,200,138,0,2,2,265,421,200,200,intrapersonal,100,86,27.881428,0.278814,0.3,bert-base-uncased,256
59,247,200,138,1,2,1,320,421,138,200,interpersonal,112,86,29.789009,0.265973,0.3,bert-base-uncased,256
